City of Albury,142
Armidale Regional,71
Ballina - A Ward,35
Ballina - B Ward,
Ballina - C Ward,
Ballina Mayoral,
Bathurst Regional,137
Bayside - Ward 1,170
Bayside - Ward 2,245
Bayside - Ward 3,145
Bayside - Ward 4,167
Bayside - Ward 5,130
Bega Valley,49
Bellingen,29
Bellingen Mayoral,
Berrigan,20
City of Blacktown - Ward 1,611
City of Blacktown - Ward 2,356
City of Blacktown - Ward 3,
City of Blacktown - Ward 4,242
City of Blacktown - Ward 5,419
Bland,
Blayney,
City of Blue Mountains - Ward 1,65
City of Blue Mountains - Ward 2,73
City of Blue Mountains - Ward 3,94
City of Blue Mountains - Ward 4,79
Bogan,13
Brewarrina,
City of Broken Hill,38
City of Broken Hill Mayoral,
Burwood,149
Burwood Mayoral,127
Byron,127
Byron Mayoral,
Cabonne,57
Camden - Central Ward,269
Camden - North Ward,362
Camden - South Ward,201
City of Campbelltown,764
Canada Bay,491
Canada Bay Mayoral,
Canterbury-Bankstown - Bankstown Ward,
Canterbury-Bankstown - Bass Hill Ward,363
Canterbury-Bankstown - Canterbury Ward,369
Canterbury-Bankstown - Revesby Ward,391
Canterbury-Bankstown - Roselands Ward,
Carrathool - Ward A,4
City of Cessnock - A Ward,73
City of Cessnock - B Ward,69
City of Cessnock - C Ward,86
City of Cessnock - D Ward,89
City of Cessnock Mayoral,
Clarence Valley,143
City of Coffs Harbour,251
City of Coffs Harbour Mayoral,251
Coolamon,19
Coonamble,10
Cootamundra-Gundagai Regional,
Cowra,32
Cumberland - Granville Ward,215
Cumberland - Greystanes Ward,
Cumberland - Regents Park Ward,184
Cumberland - South Granville Ward,
Cumberland - Wentworthville Ward,221
Dubbo Regional - Dubbo Central Ward,
Dubbo Regional - Dubbo East Ward,
Dubbo Regional - Dubbo North Ward,45
Dubbo Regional - Dubbo South Ward,47
Dubbo Regional - Wellington Ward,
Dungog - A Ward,
Dungog - B Ward,
Dungog - C Ward,
Edward River,
Eurobodalla,114
Eurobodalla Mayoral,
Federation,22
Forbes,37
Georges River - Blakehurst Ward,122
Georges River - Hurstville Ward,133
Georges River - Kogarah Bay Ward,159
Georges River - Mortdale Ward,124
Georges River - Peakhurst Ward,161
Gilgandra,
Glen Innes Severn Shire,8
Goulburn Mulwaree,93
Greater Hume Shire - North Ward,
Greater Hume Shire - West Ward,
City of Griffith,73
City of Griffith Mayoral,73
Gunnedah,50
Gwydir,
City of Hawkesbury,300
Hay,6
Hilltops,45
Hornsby - Ward A,200
Hornsby - Ward B,241
Hornsby - Ward C,
Hornsby Mayoral,
Hunter's Hill - North Ward,37
Hunter's Hill - South Ward,34
Hunter's Hill Mayoral,
Inner West - Ashfield - Djarrawunang (Magpie) Ward,220
Inner West - Balmain - Baludarri (Leather Jacket) Ward,196
Inner West - Leichhardt - Gulgadya (Grass Tree) Ward,199
Inner West - Marrickville - Midjuburi (Lillypilly) Ward,242
Inner West - Stanmore - Damun (Port Jackson Fig) Ward,266
Inverell,
Junee,13
Kempsey,34
Kempsey Mayoral,
Kiama,57
Ku-ring-gai - Comenarra Ward,120
